author||place
http://dbpedia.org/resource/%C3%81gnes_Szokolszky||http://dbpedia.org/resource/Budapest
http://dbpedia.org/resource/%C3%81nyos_Jedlik||http://dbpedia.org/resource/Zemn%C3%A9
http://dbpedia.org/resource/%C3%81skell_L%C3%B6ve||http://dbpedia.org/resource/Reykjav%C3%ADk
http://dbpedia.org/resource/%C3%82ngelo_Moreira_da_Costa_Lima||http://dbpedia.org/resource/Rio_de_Janeiro
http://dbpedia.org/resource/%C3%85ke_Senning||http://dbpedia.org/resource/R%C3%A4ttvik
http://dbpedia.org/resource/%C3%89douard_Clapar%C3%A8de||http://dbpedia.org/resource/Geneva
http://dbpedia.org/resource/%C3%89douard_Goursat||http://dbpedia.org/resource/Lot_(department)
http://dbpedia.org/resource/%C3%89douard_Goursat||http://dbpedia.org/resource/Lanzac
http://dbpedia.org/resource/%C3%89douard_Lucas||http://dbpedia.org/resource/Amiens
http://dbpedia.org/resource/%C3%89douard_M%C3%A9n%C3%A9tries||http://dbpedia.org/resource/Paris
http://dbpedia.org/resource/%C3%89douard_Roche||http://dbpedia.org/resource/Montpellier
http://dbpedia.org/resource/%C3%89lie_Cartan||http://dbpedia.org/resource/Dolomieu,_Is%C3%A8re
http://dbpedia.org/resource/%C3%89lie_Metchnikoff||http://dbpedia.org/resource/Kupiansk_Raion
http://dbpedia.org/resource/%C3%89lie_Wollman||http://dbpedia.org/resource/Paris
http://dbpedia.org/resource/%C3%89lisabeth_Roudinesco||http://dbpedia.org/resource/Paris
http://dbpedia.org/resource/%C3%89mile_Amagat||http://dbpedia.org/resource/Saint-Satur
http://dbpedia.org/resource/%C3%89mile_Blanchard||http://dbpedia.org/resource/Paris
http://dbpedia.org/resource/%C3%89mile_Borel||http://dbpedia.org/resource/Saint-Affrique
http://dbpedia.org/resource/%C3%89mile_Durkheim||http://dbpedia.org/resource/%C3%89pinal
http://dbpedia.org/resource/%C3%89mile_Haug||http://dbpedia.org/resource/Drusenheim
http://dbpedia.org/resource/%C3%89mile_Lemoine||http://dbpedia.org/resource/Quimper
http://dbpedia.org/resource/%C3%89mile_Picard||http://dbpedia.org/resource/Paris
http://dbpedia.org/resource/%C3%89mile_Sarrau||http://dbpedia.org/resource/Perpignan
http://dbpedia.org/resource/%C3%89milie_du_Ch%C3%A2telet||http://dbpedia.org/resource/Paris
http://dbpedia.org/resource/%C3%89ric_Fombonne||http://dbpedia.org/resource/Paris
http://dbpedia.org/resource/%C3%89tienne-%C3%89mile_Baulieu||http://dbpedia.org/resource/Strasbourg
http://dbpedia.org/resource/%C3%89tienne-Louis_Malus||http://dbpedia.org/resource/Paris
http://dbpedia.org/resource/%C3%89tienne_B%C3%A9zout||http://dbpedia.org/resource/Seine-et-Marne
http://dbpedia.org/resource/%C3%89tienne_B%C3%A9zout||http://dbpedia.org/resource/Nemours
http://dbpedia.org/resource/%C3%89tienne_Geoffroy_Saint-Hilaire||http://dbpedia.org/resource/Essonne
http://dbpedia.org/resource/%C3%89tienne_Geoffroy_Saint-Hilaire||http://dbpedia.org/resource/%C3%89tampes
http://dbpedia.org/resource/%C3%89tienne_L%C3%A9opold_Trouvelot||http://dbpedia.org/resource/Aisne
http://dbpedia.org/resource/%C3%89tienne_Laspeyres||http://dbpedia.org/resource/Halle_(Saale)
http://dbpedia.org/resource/%C3%89tienne_Roth||http://dbpedia.org/resource/Strasbourg
http://dbpedia.org/resource/%C3%89tienne_de_Harven||http://dbpedia.org/resource/Brussels
http://dbpedia.org/resource/%C3%89variste_Galois||http://dbpedia.org/resource/Bourg-la-Reine
http://dbpedia.org/resource/%C3%93scar_Moreno||http://dbpedia.org/resource/Porto
http://dbpedia.org/resource/%C3%96mer_%C3%96zkan||http://dbpedia.org/resource/Ankara
http://dbpedia.org/resource/%C3%96mer_%C3%96zkan||http://dbpedia.org/resource/Haymana,_Ankara
http://dbpedia.org/resource/%C3%96rjan_Wikander||http://dbpedia.org/resource/Helsingborg
http://dbpedia.org/resource/%C3%98ystein_Ore||http://dbpedia.org/resource/Oslo
http://dbpedia.org/resource/%C3%98ystein_S%C3%B8rensen||http://dbpedia.org/resource/Str%C3%B8mmen
http://dbpedia.org/resource/%C4%90%C3%A1i_Duy_Ban||http://dbpedia.org/resource/Thanh_H%C3%B3a
http://dbpedia.org/resource/%C4%90%C3%A1i_Duy_Ban||http://dbpedia.org/resource/Qu%E1%BA%A3ng_X%C6%B0%C6%A1ng_District
http://dbpedia.org/resource/%C4%B0brahim_Tar%C4%B1k_%C3%96zbolat||http://dbpedia.org/resource/Adana
http://dbpedia.org/resource/%C4%B0lber_Ortayl%C4%B1||http://dbpedia.org/resource/Bregenz
http://dbpedia.org/resource/%C4%B0smail_Hakk%C4%B1_Duru||http://dbpedia.org/resource/Bolu
http://dbpedia.org/resource/%C5%9E%C3%BCkr%C3%BC_Hal%C3%BBk_Akal%C4%B1n||http://dbpedia.org/resource/Adana
http://dbpedia.org/resource/%C5%9Eerif_Mardin||http://dbpedia.org/resource/Istanbul
http://dbpedia.org/resource/%C5%A0tefan_%C5%A0utaj||http://dbpedia.org/resource/Michalovce
http://dbpedia.org/resource/%C8%98tefan_Procopiu||http://dbpedia.org/resource/B%C3%A2rlad
http://dbpedia.org/resource/A.E._Muthunayagam||http://dbpedia.org/resource/Nagercoil
http://dbpedia.org/resource/A._B._Walawalkar||http://dbpedia.org/resource/Kudal
http://dbpedia.org/resource/A._Carl_Helmholz||http://dbpedia.org/resource/Evanston,_Illinois
http://dbpedia.org/resource/A._Cemal_Eringen||http://dbpedia.org/resource/Kayseri
http://dbpedia.org/resource/A._E._Douglass||http://dbpedia.org/resource/Windsor,_Vermont
http://dbpedia.org/resource/A._F._K._Organski||http://dbpedia.org/resource/Rome
http://dbpedia.org/resource/A._Gilbert_Wright||http://dbpedia.org/resource/Carthage,_Illinois
http://dbpedia.org/resource/A._J._Arkell||http://dbpedia.org/resource/Hinxhill
http://dbpedia.org/resource/A._James_Gregor||http://dbpedia.org/resource/New_York
http://dbpedia.org/resource/A._L._Narayan||http://dbpedia.org/resource/Andhra_Pradesh
http://dbpedia.org/resource/A._L._Narayan||http://dbpedia.org/resource/East_Godavari_district
http://dbpedia.org/resource/A._L._Narayan||http://dbpedia.org/resource/Mukkamala,_East_Godavari
http://dbpedia.org/resource/A._M._Harun-ar-Rashid||http://dbpedia.org/resource/Barisal
http://dbpedia.org/resource/A._M._Mathai||http://dbpedia.org/resource/Kerala
http://dbpedia.org/resource/A._P._Balachandran||http://dbpedia.org/resource/Salem,_Tamil_Nadu
http://dbpedia.org/resource/A._Ranganadha_Rao||http://dbpedia.org/resource/Andhra_Pradesh
http://dbpedia.org/resource/A._Ranganadha_Rao||http://dbpedia.org/resource/Pithapuram
http://dbpedia.org/resource/A._Richard_Newton||http://dbpedia.org/resource/Victoria_(Australia)
http://dbpedia.org/resource/A._Richard_Newton||http://dbpedia.org/resource/Melbourne
http://dbpedia.org/resource/A._Sivathanu_Pillai||http://dbpedia.org/resource/Nagercoil
http://dbpedia.org/resource/A._T._Hill||http://dbpedia.org/resource/Cisne,_Illinois
http://dbpedia.org/resource/A._Teeuw||http://dbpedia.org/resource/Gorinchem
http://dbpedia.org/resource/A._W._Dumas||http://dbpedia.org/resource/Terrebonne_Parish,_Louisiana
http://dbpedia.org/resource/Aage_B._S%C3%B8rensen||http://dbpedia.org/resource/Silkeborg
http://dbpedia.org/resource/Aage_Bohr||http://dbpedia.org/resource/Copenhagen
http://dbpedia.org/resource/Aaron_Aaronsohn||http://dbpedia.org/resource/Bac%C4%83u
http://dbpedia.org/resource/Aaron_Ciechanover||http://dbpedia.org/resource/Haifa
http://dbpedia.org/resource/Aaron_Cohen-Gadol||http://dbpedia.org/resource/Tehran
http://dbpedia.org/resource/Aaron_Klug||http://dbpedia.org/resource/%C5%BDelva
http://dbpedia.org/resource/Aaron_Louis_Treadwell||http://dbpedia.org/resource/Connecticut
http://dbpedia.org/resource/Aaron_Louis_Treadwell||http://dbpedia.org/resource/Redding,_Connecticut
http://dbpedia.org/resource/Aaron_Marcus||http://dbpedia.org/resource/Nebraska
http://dbpedia.org/resource/Aaron_Marcus||http://dbpedia.org/resource/Omaha,_Nebraska
http://dbpedia.org/resource/Aaron_Pixton||http://dbpedia.org/resource/Binghamton,_New_York
http://dbpedia.org/resource/Aaron_T._Beck||http://dbpedia.org/resource/Providence,_Rhode_Island
http://dbpedia.org/resource/Ab_Osterhaus||http://dbpedia.org/resource/Amsterdam
http://dbpedia.org/resource/Aban_Marker_Kabraji||http://dbpedia.org/resource/Mumbai
http://dbpedia.org/resource/Abass_Alavi||http://dbpedia.org/resource/Tabriz
http://dbpedia.org/resource/Abbas_Milani||http://dbpedia.org/resource/Tehran
http://dbpedia.org/resource/Abbas_Wasim_Efendi||http://dbpedia.org/resource/Bursa
http://dbpedia.org/resource/Abby_Lillian_Marlatt||http://dbpedia.org/resource/Manhattan,_Kansas
http://dbpedia.org/resource/Abdoulreza_Soudbakhsh||http://dbpedia.org/resource/Bandar-e_Anzali
http://dbpedia.org/resource/Abdul_Gaffar_Billoo||http://dbpedia.org/resource/Junagadh
http://dbpedia.org/resource/Abdul_Hameed_Nayyar||http://dbpedia.org/resource/Hyderabad
http://dbpedia.org/resource/Abdul_Jabbar_Abdullah||http://dbpedia.org/resource/Maysan_Governorate
http://dbpedia.org/resource/Abdul_Majid_(physicist)||http://dbpedia.org/resource/Karachi
http://dbpedia.org/resource/Abdul_Majid_(physicist)||http://dbpedia.org/resource/Sindh
http://dbpedia.org/resource/Abdul_Malik_(physician)||http://dbpedia.org/resource/Sylhet
http://dbpedia.org/resource/Abdul_Qadeer_Khan||http://dbpedia.org/resource/Bhopal
http://dbpedia.org/resource/Abdulalim_A._Shabazz||http://dbpedia.org/resource/Alabama
http://dbpedia.org/resource/Abdulalim_A._Shabazz||http://dbpedia.org/resource/Bessemer,_Alabama
http://dbpedia.org/resource/Abdullah_Sadiq||http://dbpedia.org/resource/Peshawar
http://dbpedia.org/resource/Abdulrahman_al-Ansary||http://dbpedia.org/resource/Medina
http://dbpedia.org/resource/Abel_Salazar||http://dbpedia.org/resource/Guimar%C3%A3es
http://dbpedia.org/resource/Abhay_Ashtekar||http://dbpedia.org/resource/Maharashtra
http://dbpedia.org/resource/Abhay_Ashtekar||http://dbpedia.org/resource/Kolhapur
http://dbpedia.org/resource/Abraham_Adrian_Albert||http://dbpedia.org/resource/Chicago
http://dbpedia.org/resource/Abraham_Alikhanov||http://dbpedia.org/resource/Ganja,_Azerbaijan
http://dbpedia.org/resource/Abraham_Colles||http://dbpedia.org/resource/Kilkenny
http://dbpedia.org/resource/Abraham_Esau||http://dbpedia.org/resource/Malbork_County
http://dbpedia.org/resource/Abraham_Gotthelf_K%C3%A4stner||http://dbpedia.org/resource/Leipzig
http://dbpedia.org/resource/Abraham_Gottlob_Werner||http://dbpedia.org/resource/Osiecznica,_Lower_Silesian_Voivodeship
http://dbpedia.org/resource/Abraham_Haskel_Taub||http://dbpedia.org/resource/Chicago
http://dbpedia.org/resource/Abraham_Lempel||http://dbpedia.org/resource/Lviv
http://dbpedia.org/resource/Abraham_Nitzan||http://dbpedia.org/resource/Tel_Aviv
http://dbpedia.org/resource/Abraham_Pais||http://dbpedia.org/resource/Amsterdam
http://dbpedia.org/resource/Abraham_Robertson||http://dbpedia.org/resource/Duns
http://dbpedia.org/resource/Abraham_Robinson||http://dbpedia.org/resource/Wa%C5%82brzych
http://dbpedia.org/resource/Abraham_Sinkov||http://dbpedia.org/resource/Pennsylvania
http://dbpedia.org/resource/Abraham_Sinkov||http://dbpedia.org/resource/Philadelphia
http://dbpedia.org/resource/Abraham_Vater||http://dbpedia.org/resource/Wittenberg
http://dbpedia.org/resource/Abraham_Wald||http://dbpedia.org/resource/Cluj-Napoca
http://dbpedia.org/resource/Abraham_bar_Hiyya||http://dbpedia.org/resource/Barcelona
