place||pays
http://dbpedia.org/resource/%C3%81guas_Santas||http://dbpedia.org/resource/Portugal
http://dbpedia.org/resource/%C3%81lava||http://dbpedia.org/resource/Spain
http://dbpedia.org/resource/%C3%84ngelholm||http://dbpedia.org/resource/Sweden
http://dbpedia.org/resource/%C3%85dalsbruk||http://dbpedia.org/resource/Norway
http://dbpedia.org/resource/%C3%85hus||http://dbpedia.org/resource/Sweden
http://dbpedia.org/resource/%C3%85nge_Municipality||http://dbpedia.org/resource/Sweden
http://dbpedia.org/resource/%C3%85rdalstangen||http://dbpedia.org/resource/Norway
http://dbpedia.org/resource/%C3%85s,_Krokom||http://dbpedia.org/resource/Sweden
http://dbpedia.org/resource/%C3%85tvidaberg||http://dbpedia.org/resource/Sweden
http://dbpedia.org/resource/%C3%87al||http://dbpedia.org/resource/Turkey
http://dbpedia.org/resource/%C3%87anakkale||http://dbpedia.org/resource/Turkey
http://dbpedia.org/resource/%C3%87ar%C5%9Famba||http://dbpedia.org/resource/Turkey
http://dbpedia.org/resource/%C3%87atalca||http://dbpedia.org/resource/Turkey
http://dbpedia.org/resource/%C3%87ay%C4%B1rl%C4%B1||http://dbpedia.org/resource/Turkey
http://dbpedia.org/resource/%C3%87ermik||http://dbpedia.org/resource/Turkey
http://dbpedia.org/resource/%C3%87i%C3%A7ekda%C4%9F%C4%B1,_K%C4%B1r%C5%9Fehir||http://dbpedia.org/resource/Turkey
http://dbpedia.org/resource/%C3%87orum||http://dbpedia.org/resource/Turkey
http://dbpedia.org/resource/%C3%89breuil||http://dbpedia.org/resource/France
http://dbpedia.org/resource/%C3%89chirolles||http://dbpedia.org/resource/France
http://dbpedia.org/resource/%C3%89gleny||http://dbpedia.org/resource/France
http://dbpedia.org/resource/%C3%89pinal||http://dbpedia.org/resource/France
http://dbpedia.org/resource/%C3%89pinay-sur-Seine||http://dbpedia.org/resource/France
http://dbpedia.org/resource/%C3%89tampes||http://dbpedia.org/resource/France
http://dbpedia.org/resource/%C3%89vreux||http://dbpedia.org/resource/France
http://dbpedia.org/resource/%C3%8Dcolo_e_Bengo||http://dbpedia.org/resource/Angola
http://dbpedia.org/resource/%C3%8Dscar||http://dbpedia.org/resource/Spain
http://dbpedia.org/resource/%C3%8Ele-de-France||http://dbpedia.org/resource/France
http://dbpedia.org/resource/%C3%93zd||http://dbpedia.org/resource/Hungary
http://dbpedia.org/resource/%C3%96land||http://dbpedia.org/resource/Sweden
http://dbpedia.org/resource/%C3%96nnestad||http://dbpedia.org/resource/Sweden
http://dbpedia.org/resource/%C3%96rebro||http://dbpedia.org/resource/Sweden
http://dbpedia.org/resource/%C3%96rebro_County||http://dbpedia.org/resource/Sweden
http://dbpedia.org/resource/%C3%96rnsk%C3%B6ldsvik||http://dbpedia.org/resource/Sweden
http://dbpedia.org/resource/%C3%96ster%C3%A5ker_Municipality||http://dbpedia.org/resource/Sweden
http://dbpedia.org/resource/%C3%96sterg%C3%B6tland||http://dbpedia.org/resource/Sweden
http://dbpedia.org/resource/%C3%96sterg%C3%B6tland_County||http://dbpedia.org/resource/Sweden
http://dbpedia.org/resource/%C3%96stersund||http://dbpedia.org/resource/Sweden
http://dbpedia.org/resource/%C3%96sterv%C3%A5la||http://dbpedia.org/resource/Sweden
http://dbpedia.org/resource/%C3%96stra_Husby||http://dbpedia.org/resource/Sweden
http://dbpedia.org/resource/%C3%96verkalix||http://dbpedia.org/resource/Sweden
http://dbpedia.org/resource/%C3%98len||http://dbpedia.org/resource/Norway
http://dbpedia.org/resource/%C3%98vre_%C3%85rdal||http://dbpedia.org/resource/Norway
http://dbpedia.org/resource/%C3%9Abeda||http://dbpedia.org/resource/Spain
http://dbpedia.org/resource/%C3%9Ajpest||http://dbpedia.org/resource/Hungary
http://dbpedia.org/resource/%C3%9Ast%C3%AD_nad_Labem||http://dbpedia.org/resource/Czech_Republic
http://dbpedia.org/resource/%C3%9Ast%C3%AD_nad_Orlic%C3%AD||http://dbpedia.org/resource/Czech_Republic
http://dbpedia.org/resource/%C3%9Cberlingen||http://dbpedia.org/resource/Germany
http://dbpedia.org/resource/%C3%9Cnye||http://dbpedia.org/resource/Turkey
http://dbpedia.org/resource/%C3%9Cr%C3%BCmqi||http://dbpedia.org/resource/China
http://dbpedia.org/resource/%C3%9Csk%C3%BCdar||http://dbpedia.org/resource/Turkey
http://dbpedia.org/resource/%C4%8Ca%C4%8Dak||http://dbpedia.org/resource/Serbia
http://dbpedia.org/resource/%C4%8Cakovec||http://dbpedia.org/resource/Croatia
http://dbpedia.org/resource/%C4%8Cavoglave||http://dbpedia.org/resource/Croatia
http://dbpedia.org/resource/%C4%8Celadn%C3%A1||http://dbpedia.org/resource/Czech_Republic
http://dbpedia.org/resource/%C4%8Cesk%C3%A9_Bud%C4%9Bjovice||http://dbpedia.org/resource/Czech_Republic
http://dbpedia.org/resource/%C4%8Cesk%C3%BD_Krumlov||http://dbpedia.org/resource/Czech_Republic
http://dbpedia.org/resource/%C4%8Crna_na_Koro%C5%A1kem||http://dbpedia.org/resource/Slovenia
http://dbpedia.org/resource/%C4%8Crnomelj||http://dbpedia.org/resource/Slovenia
http://dbpedia.org/resource/%C4%90%C3%B4ng_H%C3%A0||http://dbpedia.org/resource/Vietnam
http://dbpedia.org/resource/%C4%90%C3%B4ng_S%C6%A1n_District||http://dbpedia.org/resource/Vietnam
http://dbpedia.org/resource/%C4%90%E1%BA%A7m_D%C6%A1i_District||http://dbpedia.org/resource/Vietnam
