artwork||museum
http://dbpedia.org/resource/%C2%BFOlvida_usted_algo%3F_%E2%80%93_%C2%A1Ojal%C3%A1!||http://dbpedia.org/resource/Casa_del_Lago_Juan_Jos%C3%A9_Arreola
http://dbpedia.org/resource/%C3%89tant_donn%C3%A9s||http://dbpedia.org/resource/Philadelphia_Museum_of_Art
http://dbpedia.org/resource/%CA%BBAhu_%CA%BBula||http://dbpedia.org/resource/National_Maritime_Museum
http://dbpedia.org/resource/1.26||http://dbpedia.org/resource/Denver_Art_Museum
http://dbpedia.org/resource/1530_in_art||http://dbpedia.org/resource/Parma_Cathedral
http://dbpedia.org/resource/1618_in_art||http://dbpedia.org/resource/Uffizi
http://dbpedia.org/resource/1926_in_fine_arts_of_the_Soviet_Union||http://dbpedia.org/resource/Finland_Station
http://dbpedia.org/resource/1927_in_fine_arts_of_the_Soviet_Union||http://dbpedia.org/resource/Smolny_Institute
http://dbpedia.org/resource/1927_in_fine_arts_of_the_Soviet_Union||http://dbpedia.org/resource/Tretyakov_Gallery
http://dbpedia.org/resource/1949_in_fine_arts_of_the_Soviet_Union||http://dbpedia.org/resource/Treptower_Park
http://dbpedia.org/resource/1967_in_fine_arts_of_the_Soviet_Union||http://dbpedia.org/resource/Mamayev_Kurgan
http://dbpedia.org/resource/1970_in_fine_arts_of_the_Soviet_Union||http://dbpedia.org/resource/Kremlin_Wall_Necropolis
http://dbpedia.org/resource/26_October_1993||http://dbpedia.org/resource/Tate_Modern
http://dbpedia.org/resource/78th_Fraser_Highlanders__Benjamin_West_005.jpg__1||http://dbpedia.org/resource/National_Gallery_of_Canada
http://dbpedia.org/resource/A,A||http://dbpedia.org/resource/University_of_Houston
http://dbpedia.org/resource/A_Bar_at_the_Folies-Berg%C3%A8re||http://dbpedia.org/resource/Courtauld_Gallery
http://dbpedia.org/resource/A_Beam_of_Sun_to_Shake_the_Sky||http://dbpedia.org/resource/Milwaukee_Public_Library
http://dbpedia.org/resource/A_Boy_Bringing_Bread||http://dbpedia.org/resource/Wallace_Collection
http://dbpedia.org/resource/A_Burial_At_Ornans||http://dbpedia.org/resource/Mus%C3%A9e_d'Orsay
http://dbpedia.org/resource/A_Converted_British_Family_Sheltering_a_Christian_Missionary_from_the_Persecution_of_the_Druids||http://dbpedia.org/resource/Ashmolean_Museum
http://dbpedia.org/resource/A_Cotton_Office_in_New_Orleans||http://dbpedia.org/resource/Mus%C3%A9e_des_beaux-arts_de_Pau
http://dbpedia.org/resource/A_Dance_to_the_Music_of_Time_(painting)||http://dbpedia.org/resource/Wallace_Collection
http://dbpedia.org/resource/A_Distinguished_Member_of_the_Humane_Society||http://dbpedia.org/resource/Tate
