museum||place
http://dbpedia.org/resource/Mikhail_Bulgakov_Museum||http://dbpedia.org/resource/Kiev
http://dbpedia.org/resource/Mildred_Lane_Kemper_Art_Museum||http://dbpedia.org/resource/St._Louis
http://dbpedia.org/resource/Milestones_Museum||http://dbpedia.org/resource/England
http://dbpedia.org/resource/Milestones_Museum||http://dbpedia.org/resource/Hampshire
http://dbpedia.org/resource/Milestones_Museum||http://dbpedia.org/resource/Basingstoke
http://dbpedia.org/resource/Milford_Haven_Museum||http://dbpedia.org/resource/Pembrokeshire
http://dbpedia.org/resource/Milford_Haven_Museum||http://dbpedia.org/resource/Milford_Haven
http://dbpedia.org/resource/Milit%C3%A4rhistorisches_Museum_Flugplatz_Berlin-Gatow||http://dbpedia.org/resource/Berlin
http://dbpedia.org/resource/Milit%C3%A4rhistorisches_Museum_Flugplatz_Berlin-Gatow||http://dbpedia.org/resource/Germany
http://dbpedia.org/resource/Military_Aviation_Museum||http://dbpedia.org/resource/Virginia_Beach,_Virginia
http://dbpedia.org/resource/Military_Aviation_Museum||http://dbpedia.org/resource/Virginia_Beach_Airport
http://dbpedia.org/resource/Military_Communications_and_Electronics_Museum||http://dbpedia.org/resource/Kingston,_Ontario
http://dbpedia.org/resource/Military_Communications_and_Electronics_Museum||http://dbpedia.org/resource/Ontario_Highway_2
http://dbpedia.org/resource/Military_Heritage_&_Aviation_Museum||http://dbpedia.org/resource/Florida
http://dbpedia.org/resource/Military_Heritage_&_Aviation_Museum||http://dbpedia.org/resource/Punta_Gorda,_Florida
http://dbpedia.org/resource/Military_Museum_(Belgrade)||http://dbpedia.org/resource/Belgrade
http://dbpedia.org/resource/Military_Museum_(Belgrade)||http://dbpedia.org/resource/Belgrade_Fortress
http://dbpedia.org/resource/Military_Museum_of_Tasmania||http://dbpedia.org/resource/Hobart
http://dbpedia.org/resource/Military_Museum_of_Tasmania||http://dbpedia.org/resource/Tasmania
http://dbpedia.org/resource/Military_Museum_of_Tasmania||http://dbpedia.org/resource/Anglesea_Barracks
http://dbpedia.org/resource/Military_Museum_of_the_Legion||http://dbpedia.org/resource/Ceuta
http://dbpedia.org/resource/Military_Music_Museum_of_Finland||http://dbpedia.org/resource/Lahti
http://dbpedia.org/resource/Military_Sea_Services_Museum||http://dbpedia.org/resource/Sebring,_Florida
http://dbpedia.org/resource/Military_Sea_Services_Museum||http://dbpedia.org/resource/Florida
http://dbpedia.org/resource/Military_Vehicle_Technology_Foundation||http://dbpedia.org/resource/California
http://dbpedia.org/resource/Military_Vehicle_Technology_Foundation||http://dbpedia.org/resource/Portola_Valley,_California
http://dbpedia.org/resource/Military_museum_Le%C5%A1any||http://dbpedia.org/resource/Czech_Republic
http://dbpedia.org/resource/Military_museum_Le%C5%A1any||http://dbpedia.org/resource/Le%C5%A1any_(Bene%C5%A1ov_District)
http://dbpedia.org/resource/Mill_City_Museum||http://dbpedia.org/resource/Minneapolis
http://dbpedia.org/resource/Mill_Hill_Anglo-Saxon_cemetery||http://dbpedia.org/resource/Kent
http://dbpedia.org/resource/Mill_Hill_Anglo-Saxon_cemetery||http://dbpedia.org/resource/Deal,_Kent
http://dbpedia.org/resource/Millard's_Crossing_Historic_Village||http://dbpedia.org/resource/Texas
http://dbpedia.org/resource/Millard's_Crossing_Historic_Village||http://dbpedia.org/resource/Nacogdoches,_Texas
http://dbpedia.org/resource/Mille_Lacs_Indian_Museum||http://dbpedia.org/resource/Minnesota
http://dbpedia.org/resource/Miller_Gallery_at_Carnegie_Mellon_University||http://dbpedia.org/resource/Pittsburgh
http://dbpedia.org/resource/Miller_Gallery_at_Carnegie_Mellon_University||http://dbpedia.org/resource/Carnegie_Mellon_University
http://dbpedia.org/resource/Miller_Gallery_at_Carnegie_Mellon_University||http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Millesg%C3%A5rden||http://dbpedia.org/resource/Stockholm
http://dbpedia.org/resource/Millesg%C3%A5rden||http://dbpedia.org/resource/Liding%C3%B6
http://dbpedia.org/resource/Millesg%C3%A5rden||http://dbpedia.org/resource/Sweden
http://dbpedia.org/resource/Milwaukee_Art_Museum||http://dbpedia.org/resource/Milwaukee
http://dbpedia.org/resource/Milwaukee_County_Historical_Society||http://dbpedia.org/resource/Milwaukee
http://dbpedia.org/resource/Mimara_Museum||http://dbpedia.org/resource/Zagreb
http://dbpedia.org/resource/Mineral_County_Museum_(Nevada)||http://dbpedia.org/resource/Nevada
http://dbpedia.org/resource/Mineral_County_Museum_(Nevada)||http://dbpedia.org/resource/Hawthorne,_Nevada
http://dbpedia.org/resource/Mingei_International_Museum||http://dbpedia.org/resource/San_Diego
http://dbpedia.org/resource/Mingei_International_Museum||http://dbpedia.org/resource/Balboa_Park_(San_Diego)
http://dbpedia.org/resource/Minneapolis_Institute_of_Arts||http://dbpedia.org/resource/Minnesota
http://dbpedia.org/resource/Minneapolis_Institute_of_Arts||http://dbpedia.org/resource/Minneapolis
http://dbpedia.org/resource/Minnesota_Artists_Exhibition_Program||http://dbpedia.org/resource/Minnesota
http://dbpedia.org/resource/Minnesota_Artists_Exhibition_Program||http://dbpedia.org/resource/Minneapolis
http://dbpedia.org/resource/Minnesota_History_Center||http://dbpedia.org/resource/Minnesota
http://dbpedia.org/resource/Minnesota_History_Center||http://dbpedia.org/resource/Saint_Paul,_Minnesota
http://dbpedia.org/resource/Minnesota_History_Center||http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Minnesota_Marine_Art_Museum||http://dbpedia.org/resource/Minnesota
http://dbpedia.org/resource/Minnesota_Marine_Art_Museum||http://dbpedia.org/resource/Winona,_Minnesota
http://dbpedia.org/resource/Minnesota_Planetarium||http://dbpedia.org/resource/Minneapolis
http://dbpedia.org/resource/Minnesota_Streetcar_Museum||http://dbpedia.org/resource/Minneapolis%E2%80%93Saint_Paul
http://dbpedia.org/resource/Mint_Museum||http://dbpedia.org/resource/Charlotte,_North_Carolina
http://dbpedia.org/resource/Mint_Museum_of_Toys||http://dbpedia.org/resource/Singapore
http://dbpedia.org/resource/Mireuksaji_Mesuem||http://dbpedia.org/resource/South_Korea
http://dbpedia.org/resource/Mireuksaji_Mesuem||http://dbpedia.org/resource/Iksan
http://dbpedia.org/resource/Misis_Mosaic_Museum||http://dbpedia.org/resource/Adana
http://dbpedia.org/resource/Misis_Mosaic_Museum||http://dbpedia.org/resource/Turkey
http://dbpedia.org/resource/Mission_Houses_Museum||http://dbpedia.org/resource/Honolulu
http://dbpedia.org/resource/Mississippi_Armed_Forces_Museum||http://dbpedia.org/resource/Camp_Shelby
http://dbpedia.org/resource/Mississippi_Civil_Rights_Museum||http://dbpedia.org/resource/Jackson,_Mississippi
http://dbpedia.org/resource/Mississippi_Museum_of_Natural_Science||http://dbpedia.org/resource/Jackson,_Mississippi
http://dbpedia.org/resource/Mississippi_Museum_of_Natural_Science||http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Mississippi_Museum_of_Natural_Science||http://dbpedia.org/resource/Mississippi
http://dbpedia.org/resource/Mitchell_House_(Thomasville,_North_Carolina)||http://dbpedia.org/resource/North_Carolina
http://dbpedia.org/resource/Mitchell_House_(Thomasville,_North_Carolina)||http://dbpedia.org/resource/Thomasville,_North_Carolina
http://dbpedia.org/resource/Mitchell_House_(Thomasville,_North_Carolina)||http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Mitsubishi_Ichigokan_Museum,_Tokyo||http://dbpedia.org/resource/Marunouchi
http://dbpedia.org/resource/Mitsui_Memorial_Museum||http://dbpedia.org/resource/Nihonbashi,_Tokyo
http://dbpedia.org/resource/Miyanomori_Art_Museum||http://dbpedia.org/resource/Japan
http://dbpedia.org/resource/Miyanomori_Art_Museum||http://dbpedia.org/resource/Hokkaido
http://dbpedia.org/resource/Miyanomori_Art_Museum||http://dbpedia.org/resource/Sapporo
http://dbpedia.org/resource/MoMA_PS1||http://dbpedia.org/resource/Queens
http://dbpedia.org/resource/MoMA_PS1||http://dbpedia.org/resource/Long_Island_City
http://dbpedia.org/resource/MoMA_PS1||http://dbpedia.org/resource/New_York_City
http://dbpedia.org/resource/MoMA_PS1||http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/MoMA_PS1||http://dbpedia.org/resource/New_York
http://dbpedia.org/resource/Mob_Attraction_Las_Vegas||http://dbpedia.org/resource/Las_Vegas_Valley
http://dbpedia.org/resource/Mob_Museum||http://dbpedia.org/resource/Nevada
http://dbpedia.org/resource/Mob_Museum||http://dbpedia.org/resource/Las_Vegas
http://dbpedia.org/resource/Mobile_Carnival_Museum||http://dbpedia.org/resource/Alabama
http://dbpedia.org/resource/Mobile_Carnival_Museum||http://dbpedia.org/resource/Mobile,_Alabama
http://dbpedia.org/resource/Mobile_Carnival_Museum||http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Mobile_Museum_of_Art||http://dbpedia.org/resource/Mobile,_Alabama
