artwork,museum
http://dbpedia.org/resource/La_Bella,http://dbpedia.org/resource/Palazzo_Pitti
http://dbpedia.org/resource/La_Blanchisseuse_(Toulouse-Lautrec),http://dbpedia.org/resource/Private_collection
http://dbpedia.org/resource/La_Bulaqueña,http://dbpedia.org/resource/National_Museum_of_the_Philippines
http://dbpedia.org/resource/La_Danse_(Bouguereau),http://dbpedia.org/resource/Musée_d'Orsay
http://dbpedia.org/resource/La_Femme_au_Cheval,http://dbpedia.org/resource/National_Gallery_of_Denmark
http://dbpedia.org/resource/La_Femme_aux_Phlox,"http://dbpedia.org/resource/Museum_of_Fine_Arts,_Houston"
http://dbpedia.org/resource/La_Fornarina,http://dbpedia.org/resource/Galleria_Nazionale_d'Arte_Antica
http://dbpedia.org/resource/La_Gare_de_Perpignan,http://dbpedia.org/resource/Museum_Ludwig
http://dbpedia.org/resource/La_Hermana_del_Hombre_Bóveda,http://dbpedia.org/resource/Indianapolis_Museum_of_Art
http://dbpedia.org/resource/La_Mousmé,http://dbpedia.org/resource/National_Gallery_of_Art
http://dbpedia.org/resource/La_Nymphe_surprise,http://dbpedia.org/resource/Museo_Nacional_de_Bellas_Artes_(Buenos_Aires)
http://dbpedia.org/resource/La_Négresse,http://dbpedia.org/resource/Centre_Georges_Pompidou
http://dbpedia.org/resource/La_Paloma_(painting),http://dbpedia.org/resource/Museu_Nacional_d'Art_de_Catalunya
http://dbpedia.org/resource/La_Parisienne_(Renoir_painting),http://dbpedia.org/resource/Amgueddfa_Cymru_–_National_Museum_Wales
http://dbpedia.org/resource/La_Parisienne_(fresco),http://dbpedia.org/resource/Heraklion_Archaeological_Museum
http://dbpedia.org/resource/La_Promenade_(Renoir),http://dbpedia.org/resource/Getty_Center
http://dbpedia.org/resource/La_Schiavona,http://dbpedia.org/resource/National_Gallery
http://dbpedia.org/resource/La_Zingarella,http://dbpedia.org/resource/Galleria_Borghese
http://dbpedia.org/resource/La_belle_ferronnière,http://dbpedia.org/resource/Louvre
http://dbpedia.org/resource/La_belle_jardinière,http://dbpedia.org/resource/Louvre
"http://dbpedia.org/resource/La_danse,_Bacchante",http://dbpedia.org/resource/Kröller-Müller_Museum
http://dbpedia.org/resource/La_donna_gravida,http://dbpedia.org/resource/Palazzo_Pitti
http://dbpedia.org/resource/La_loge_(painting),http://dbpedia.org/resource/Courtauld_Gallery
http://dbpedia.org/resource/La_maja_vestida,http://dbpedia.org/resource/Museo_del_Prado
http://dbpedia.org/resource/La_rencontre,http://dbpedia.org/resource/Musée_Fabre
http://dbpedia.org/resource/La_velata,http://dbpedia.org/resource/Palazzo_Pitti
http://dbpedia.org/resource/Lady_Agnew_of_Lochnaw,http://dbpedia.org/resource/Edinburgh
http://dbpedia.org/resource/Lady_Agnew_of_Lochnaw,http://dbpedia.org/resource/Scottish_National_Gallery
http://dbpedia.org/resource/Lady_Caroline_Howard,http://dbpedia.org/resource/National_Gallery_of_Art
http://dbpedia.org/resource/Lady_Cockburn_and_Her_Three_Eldest_Sons,http://dbpedia.org/resource/National_Gallery
http://dbpedia.org/resource/Lady_Elizabeth_Delmé_and_Her_Children,http://dbpedia.org/resource/National_Gallery_of_Art
http://dbpedia.org/resource/Lady_Lilith,http://dbpedia.org/resource/Delaware_Art_Museum
http://dbpedia.org/resource/Lady_Seated_at_a_Virginal,http://dbpedia.org/resource/National_Gallery
http://dbpedia.org/resource/Lady_Standing_at_a_Virginal,http://dbpedia.org/resource/National_Gallery
http://dbpedia.org/resource/Lady_Writing_a_Letter_with_her_Maid,http://dbpedia.org/resource/National_Gallery_of_Ireland
http://dbpedia.org/resource/Lady_and_her_Cook,http://dbpedia.org/resource/Hermitage_Museum
http://dbpedia.org/resource/Lady_in_white_(Toorop),http://dbpedia.org/resource/Stedelijk_Museum_Amsterdam
http://dbpedia.org/resource/Lady_of_Vinča,http://dbpedia.org/resource/National_Museum_of_Serbia
http://dbpedia.org/resource/Lady_with_an_Ermine,http://dbpedia.org/resource/Wawel_Castle
http://dbpedia.org/resource/Lamentation_(Gerard_David),http://dbpedia.org/resource/Metropolitan_Museum_of_Art
http://dbpedia.org/resource/Lamentation_(Pietà),http://dbpedia.org/resource/Louvre
"http://dbpedia.org/resource/Lamentation_of_Christ_(Dürer,_Munich)",http://dbpedia.org/resource/Alte_Pinakothek
"http://dbpedia.org/resource/Lamentation_of_Christ_(Dürer,_Nuremberg)",http://dbpedia.org/resource/Germanisches_Nationalmuseum
http://dbpedia.org/resource/Lamentation_of_Christ_(Mantegna),http://dbpedia.org/resource/Pinacoteca_di_Brera
http://dbpedia.org/resource/Lamentation_of_Christ_(van_der_Weyden),http://dbpedia.org/resource/Florence
http://dbpedia.org/resource/Lamentation_of_Christ_(van_der_Weyden),http://dbpedia.org/resource/Uffizi
http://dbpedia.org/resource/Lamentation_over_the_Dead_Christ_(Botticelli),http://dbpedia.org/resource/Alte_Pinakothek
http://dbpedia.org/resource/Lamentation_over_the_Dead_Christ_(Perugino),http://dbpedia.org/resource/Palazzo_Pitti
http://dbpedia.org/resource/Lamentation_over_the_Dead_Christ_with_Saints_(Botticelli),http://dbpedia.org/resource/Milan
