museum,place
http://dbpedia.org/resource/Kyushu_National_Museum,http://dbpedia.org/resource/Japan
http://dbpedia.org/resource/Käthe_Kollwitz_Museum_(Cologne),http://dbpedia.org/resource/Cologne_Neumarkt
http://dbpedia.org/resource/Käthe_Kollwitz_Museum_(Cologne),http://dbpedia.org/resource/Cologne
http://dbpedia.org/resource/Königsstuhl_National_Park_Centre,http://dbpedia.org/resource/Sassnitz
http://dbpedia.org/resource/Kırklareli_Museum,http://dbpedia.org/resource/Kırklareli
http://dbpedia.org/resource/LABoral_Centro_de_Arte_y_Creación_Industrial,http://dbpedia.org/resource/Gijón
http://dbpedia.org/resource/LABoral_Centro_de_Arte_y_Creación_Industrial,http://dbpedia.org/resource/Spain
http://dbpedia.org/resource/LABoral_Centro_de_Arte_y_Creación_Industrial,http://dbpedia.org/resource/Universidad_Laboral_de_Gijón
http://dbpedia.org/resource/LA_Plaza_de_Cultura_y_Artes,http://dbpedia.org/resource/Main_Street_(Los_Angeles)
http://dbpedia.org/resource/La_Casa_de_la_Ciencia_de_Sevilla_-_Science_Museum,http://dbpedia.org/resource/Spain
http://dbpedia.org/resource/La_Casa_de_la_Ciencia_de_Sevilla_-_Science_Museum,http://dbpedia.org/resource/Seville
http://dbpedia.org/resource/La_Cité_de_l'Énergie,http://dbpedia.org/resource/Shawinigan
http://dbpedia.org/resource/La_Cité_de_l'Énergie,http://dbpedia.org/resource/Quebec
http://dbpedia.org/resource/La_Cité_de_l'Énergie,http://dbpedia.org/resource/Canada
http://dbpedia.org/resource/La_Maison_de_la_Magie_Robert-Houdin,http://dbpedia.org/resource/France
http://dbpedia.org/resource/La_Maison_de_la_Magie_Robert-Houdin,http://dbpedia.org/resource/Blois
http://dbpedia.org/resource/La_Palma_Municipal_Museum,"http://dbpedia.org/resource/La_Palma,_Cuba"
http://dbpedia.org/resource/La_Palma_Municipal_Museum,http://dbpedia.org/resource/Cuba
http://dbpedia.org/resource/La_Piscine_Museum,http://dbpedia.org/resource/Roubaix
http://dbpedia.org/resource/La_Piscine_Museum,http://dbpedia.org/resource/France
http://dbpedia.org/resource/La_Sucrière,http://dbpedia.org/resource/Lyon
http://dbpedia.org/resource/La_Sucrière,http://dbpedia.org/resource/France
http://dbpedia.org/resource/Lac_Cardinal_Pioneer_Village_Museum,"http://dbpedia.org/resource/Grimshaw,_Alberta"
http://dbpedia.org/resource/Lac_Cardinal_Pioneer_Village_Museum,http://dbpedia.org/resource/Canada
http://dbpedia.org/resource/Lace_Museum,http://dbpedia.org/resource/Burano
http://dbpedia.org/resource/Lace_Museum,http://dbpedia.org/resource/Italy
http://dbpedia.org/resource/Lachlan_Valley_Railway,http://dbpedia.org/resource/Cowra
http://dbpedia.org/resource/Lackawanna_Coal_Mine,http://dbpedia.org/resource/Pennsylvania
http://dbpedia.org/resource/Lackawanna_Coal_Mine,http://dbpedia.org/resource/McDade_Park
http://dbpedia.org/resource/Lackawanna_Coal_Mine,"http://dbpedia.org/resource/Scranton,_Pennsylvania"
http://dbpedia.org/resource/Lahij_Museum_of_Local_History,http://dbpedia.org/resource/Ismailli_District
http://dbpedia.org/resource/Lahij_Museum_of_Local_History,http://dbpedia.org/resource/Azerbaijan
http://dbpedia.org/resource/Lahij_Museum_of_Local_History,"http://dbpedia.org/resource/Lahıc,_Ismailli"
http://dbpedia.org/resource/Lahore_Museum,http://dbpedia.org/resource/Lahore
http://dbpedia.org/resource/Lahore_Museum,"http://dbpedia.org/resource/Punjab,_Pakistan"
http://dbpedia.org/resource/Lahore_Museum,"http://dbpedia.org/resource/The_Mall,_Lahore"
http://dbpedia.org/resource/Lahore_Museum,http://dbpedia.org/resource/Pakistan
http://dbpedia.org/resource/Laing_Art_Gallery,http://dbpedia.org/resource/England
http://dbpedia.org/resource/Laing_Art_Gallery,http://dbpedia.org/resource/Newcastle_upon_Tyne
http://dbpedia.org/resource/Lake_Eustis_Museum_of_Art,"http://dbpedia.org/resource/Eustis,_Florida"
http://dbpedia.org/resource/Lake_Geneva_Museum,http://dbpedia.org/resource/Nyon
http://dbpedia.org/resource/Lake_Geneva_Museum,http://dbpedia.org/resource/Switzerland
http://dbpedia.org/resource/Lake_Placid_Winter_Olympic_Museum,http://dbpedia.org/resource/New_York
http://dbpedia.org/resource/Lake_Placid_Winter_Olympic_Museum,http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Lake_Placid_Winter_Olympic_Museum,"http://dbpedia.org/resource/Lake_Placid,_New_York"
http://dbpedia.org/resource/Lake_Superior_Maritime_Visitor_Center,"http://dbpedia.org/resource/Canal_Park,_Duluth"
http://dbpedia.org/resource/Lake_Superior_Maritime_Visitor_Center,"http://dbpedia.org/resource/Duluth,_Minnesota"
http://dbpedia.org/resource/Lakeland_Motor_Museum,http://dbpedia.org/resource/Cumbria
http://dbpedia.org/resource/Lakeland_Motor_Museum,http://dbpedia.org/resource/England
http://dbpedia.org/resource/Lakeland_Motor_Museum,http://dbpedia.org/resource/Backbarrow
http://dbpedia.org/resource/Lambretta_Scooter_Museum,http://dbpedia.org/resource/Somerset
http://dbpedia.org/resource/Lambretta_Scooter_Museum,http://dbpedia.org/resource/Weston-super-Mare
http://dbpedia.org/resource/Lambton_House,http://dbpedia.org/resource/Toronto
http://dbpedia.org/resource/Lambton_House,http://dbpedia.org/resource/Canada
http://dbpedia.org/resource/Lampeter_Museum,http://dbpedia.org/resource/Ceredigion
http://dbpedia.org/resource/Lampeter_Museum,http://dbpedia.org/resource/Wales
http://dbpedia.org/resource/Lampeter_Museum,http://dbpedia.org/resource/Lampeter
http://dbpedia.org/resource/Lamta_Archaeological_Museum,http://dbpedia.org/resource/Lemta
http://dbpedia.org/resource/Lamta_Archaeological_Museum,http://dbpedia.org/resource/Tunisia
http://dbpedia.org/resource/Lane_Motor_Museum,http://dbpedia.org/resource/Tennessee
http://dbpedia.org/resource/Lane_Motor_Museum,"http://dbpedia.org/resource/Nashville,_Tennessee"
http://dbpedia.org/resource/Lange_Max_Museum,http://dbpedia.org/resource/West_Flanders
http://dbpedia.org/resource/Lange_Max_Museum,http://dbpedia.org/resource/Belgium
"http://dbpedia.org/resource/Lapidarium,_Kerch",http://dbpedia.org/resource/Crimea
"http://dbpedia.org/resource/Lapidarium,_Kerch",http://dbpedia.org/resource/Kerch
"http://dbpedia.org/resource/Lapidarium,_Kerch",http://dbpedia.org/resource/R.Luxemburg_str._24/14
http://dbpedia.org/resource/Larco_Museum,http://dbpedia.org/resource/Lima
http://dbpedia.org/resource/Larco_Museum,http://dbpedia.org/resource/Peru
http://dbpedia.org/resource/Larco_Museum,http://dbpedia.org/resource/Pueblo_Libre
