artwork,author
http://dbpedia.org/resource/TangoCMS,http://3dteapot.co.uk
http://dbpedia.org/resource/ReachOut.com,http://about.au.reachout.com
http://dbpedia.org/resource/Knockout_(web_framework),http://blog.stevensanderson.com
http://dbpedia.org/resource/Tgif_(program),http://bourbon.usc.edu/william/
http://dbpedia.org/resource/9rules,http://cdevroe.com/
http://dbpedia.org/resource/Battle_Order_204,http://christobelmattingley.wordpress.com/
http://dbpedia.org/resource/Ircu,http://coder-com.undernet.org/
http://dbpedia.org/resource/Willakuy,http://com.miami.edu/Faculty-Staff/Grinfeder.htm
http://dbpedia.org/resource/Al_TV,http://dbpedia.org/resource/%22Weird_Al%22_Yankovic
http://dbpedia.org/resource/Wolf:_The_Journey_Home,http://dbpedia.org/resource/'Asta_Bowen
http://dbpedia.org/resource/Umineko:_When_They_Cry,http://dbpedia.org/resource/07th_Expansion
http://dbpedia.org/resource/School_Days_(visual_novel),http://dbpedia.org/resource/0verflow
"http://dbpedia.org/resource/1,000_Places_to_See_Before_You_Die","http://dbpedia.org/resource/1,000_Places_to_See_Before_You_Die"
http://dbpedia.org/resource/The_World_of_Tibetan_Buddhism,http://dbpedia.org/resource/14th_Dalai_Lama
http://dbpedia.org/resource/How_to_See_Yourself_as_You_Really_Are,http://dbpedia.org/resource/14th_Dalai_Lama
http://dbpedia.org/resource/Freedom_in_Exile,http://dbpedia.org/resource/14th_Dalai_Lama
http://dbpedia.org/resource/The_Art_of_Happiness,http://dbpedia.org/resource/14th_Dalai_Lama
"http://dbpedia.org/resource/Ancient_Wisdom,_Modern_World",http://dbpedia.org/resource/14th_Dalai_Lama
http://dbpedia.org/resource/Beyond_Religion:_Ethics_for_a_Whole_World,http://dbpedia.org/resource/14th_Dalai_Lama
http://dbpedia.org/resource/Rollo_in_Emblemland,http://dbpedia.org/resource/1930_Pulitzer_Prize
http://dbpedia.org/resource/Mathletics_(educational_software),http://dbpedia.org/resource/3P_Learning
http://dbpedia.org/resource/Glide_API,http://dbpedia.org/resource/3dfx_Interactive
http://dbpedia.org/resource/I_Love_Bees,http://dbpedia.org/resource/42_Entertainment
http://dbpedia.org/resource/4th_Dimension_(software),http://dbpedia.org/resource/4th_Dimension_(software)
http://dbpedia.org/resource/From_Pieces_to_Weight:_Once_Upon_a_Time_in_Southside_Queens,http://dbpedia.org/resource/50_Cent
http://dbpedia.org/resource/The_50th_Law,http://dbpedia.org/resource/50_Cent
http://dbpedia.org/resource/Robotics;Notes,http://dbpedia.org/resource/5pb.
http://dbpedia.org/resource/Chaos;Head,http://dbpedia.org/resource/5pb.
http://dbpedia.org/resource/Queen_Victoria:_Demon_Hunter,http://dbpedia.org/resource/A.E._Moorat
http://dbpedia.org/resource/Snakehead_Terror,http://dbpedia.org/resource/A.G._Lawrence
http://dbpedia.org/resource/Nowhere_but_Up,http://dbpedia.org/resource/A.J._Gregory
http://dbpedia.org/resource/Tommy_Storm,http://dbpedia.org/resource/A.J._Healy
http://dbpedia.org/resource/Tommy_Storm_and_the_Galactic_Knights,http://dbpedia.org/resource/A.J._Healy
http://dbpedia.org/resource/Someone_(novel),http://dbpedia.org/resource/A.M._Edwards
http://dbpedia.org/resource/The_Last_Legends_of_Earth,http://dbpedia.org/resource/A._A._Attanasio
http://dbpedia.org/resource/In_Other_Worlds,http://dbpedia.org/resource/A._A._Attanasio
http://dbpedia.org/resource/Radix_(novel),http://dbpedia.org/resource/A._A._Attanasio
http://dbpedia.org/resource/The_Ugly_Duckling_(play),http://dbpedia.org/resource/A._A._Milne
http://dbpedia.org/resource/The_House_at_Pooh_Corner,http://dbpedia.org/resource/A._A._Milne
http://dbpedia.org/resource/When_We_Were_Very_Young,http://dbpedia.org/resource/A._A._Milne
http://dbpedia.org/resource/Winnie-the-Pooh_(book),http://dbpedia.org/resource/A._A._Milne
http://dbpedia.org/resource/The_Red_House_Mystery,http://dbpedia.org/resource/A._A._Milne
http://dbpedia.org/resource/A_Gallery_of_Children,http://dbpedia.org/resource/A._A._Milne
http://dbpedia.org/resource/The_Big_Sky_(novel),"http://dbpedia.org/resource/A._B._Guthrie,_Jr."
http://dbpedia.org/resource/The_Way_West,"http://dbpedia.org/resource/A._B._Guthrie,_Jr."
"http://dbpedia.org/resource/Fair_Land,_Fair_Land","http://dbpedia.org/resource/A._B._Guthrie,_Jr."
http://dbpedia.org/resource/A_Late_Divorce,http://dbpedia.org/resource/A._B._Yehoshua
http://dbpedia.org/resource/The_Dark_Wheel_(novel),http://dbpedia.org/resource/A._Boyd_Correll
http://dbpedia.org/resource/Grace_(play),http://dbpedia.org/resource/A._C._Grayling
http://dbpedia.org/resource/The_Meaning_of_Things,http://dbpedia.org/resource/A._C._Grayling
http://dbpedia.org/resource/The_Good_Book_(book),http://dbpedia.org/resource/A._C._Grayling
http://dbpedia.org/resource/The_God_Argument,http://dbpedia.org/resource/A._C._Grayling
http://dbpedia.org/resource/The_Tonight_Show_Starring_Jimmy_Fallon,http://dbpedia.org/resource/A._D._Miles
http://dbpedia.org/resource/Late_Night_with_Jimmy_Fallon,http://dbpedia.org/resource/A._D._Miles
http://dbpedia.org/resource/Fearful_Pleasures,http://dbpedia.org/resource/A._E._Coppard
http://dbpedia.org/resource/Loyal_B._Stearns_Memorial_Fountain,http://dbpedia.org/resource/A._E._Doyle
http://dbpedia.org/resource/Playhouse_90,http://dbpedia.org/resource/A._E._Hotchner
http://dbpedia.org/resource/Welcome_to_the_Club_(musical),http://dbpedia.org/resource/A._E._Hotchner
http://dbpedia.org/resource/Looking_for_Miracles,http://dbpedia.org/resource/A._E._Hotchner
http://dbpedia.org/resource/The_Drum_(novel),http://dbpedia.org/resource/A._E._W._Mason
http://dbpedia.org/resource/Fire_Over_England_(novel),http://dbpedia.org/resource/A._E._W._Mason
http://dbpedia.org/resource/Man_and_His_Kingdom_(novel),http://dbpedia.org/resource/A._E._W._Mason
http://dbpedia.org/resource/The_Truants_(novel),http://dbpedia.org/resource/A._E._W._Mason
http://dbpedia.org/resource/The_Witness_for_the_Defense_(novel),http://dbpedia.org/resource/A._E._W._Mason
http://dbpedia.org/resource/The_House_of_the_Arrow_(novel),http://dbpedia.org/resource/A._E._W._Mason
http://dbpedia.org/resource/The_Prisoner_in_the_Opal,http://dbpedia.org/resource/A._E._W._Mason
http://dbpedia.org/resource/At_the_Villa_Rose_(novel),http://dbpedia.org/resource/A._E._W._Mason
http://dbpedia.org/resource/The_Four_Feathers,http://dbpedia.org/resource/A._E._W._Mason
http://dbpedia.org/resource/Miranda_of_the_Balcony,http://dbpedia.org/resource/A._E._W._Mason
http://dbpedia.org/resource/Running_Water_(novel),http://dbpedia.org/resource/A._E._W._Mason
http://dbpedia.org/resource/A_Romance_of_Wastdale_(novel),http://dbpedia.org/resource/A._E._W._Mason
http://dbpedia.org/resource/The_House_in_Lordship_Lane,http://dbpedia.org/resource/A._E._W._Mason
http://dbpedia.org/resource/They_Wouldn't_Be_Chessmen,http://dbpedia.org/resource/A._E._W._Mason
http://dbpedia.org/resource/Slan,http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/Null-A_Three,http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/The_Pawns_of_Null-A,http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/The_Mixed_Men,http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/Empire_of_the_Atom,http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/The_World_of_Null-A,http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/The_Voyage_of_the_Space_Beagle,http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/The_Universe_Maker,http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/M33_in_Andromeda,http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/Dear_Pen_Pal,http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/The_Weapon_Shops_of_Isher,http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/The_Book_of_Ptath,http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/The_Weapon_Shop,http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/Vault_of_the_Beast,http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/The_Wizard_of_Linn,http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/The_House_That_Stood_Still,http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/Children_of_Tomorrow,http://dbpedia.org/resource/A._E._van_Vogt
