place,pays
http://dbpedia.org/resource/'s-Hertogenbosch,http://dbpedia.org/resource/Netherlands
http://dbpedia.org/resource/6th_arrondissement_of_Paris,http://dbpedia.org/resource/France
http://dbpedia.org/resource/A_Coruña,http://dbpedia.org/resource/Spain
http://dbpedia.org/resource/Aabenraa,http://dbpedia.org/resource/Denmark
http://dbpedia.org/resource/Aabyhøj,http://dbpedia.org/resource/Denmark
http://dbpedia.org/resource/Aachen,http://dbpedia.org/resource/Germany
http://dbpedia.org/resource/Aalborg,http://dbpedia.org/resource/Denmark
http://dbpedia.org/resource/Aalen,http://dbpedia.org/resource/Germany
http://dbpedia.org/resource/Aarau,http://dbpedia.org/resource/Switzerland
http://dbpedia.org/resource/Aarhus,http://dbpedia.org/resource/Denmark
"http://dbpedia.org/resource/Aba,_Abia",http://dbpedia.org/resource/Nigeria
"http://dbpedia.org/resource/Abadan,_Iran",http://dbpedia.org/resource/Iran
http://dbpedia.org/resource/Abadeh,http://dbpedia.org/resource/Iran
http://dbpedia.org/resource/Abano_Terme,http://dbpedia.org/resource/Italy
http://dbpedia.org/resource/Abbeville,http://dbpedia.org/resource/France
"http://dbpedia.org/resource/Abbeville,_Louisiana",http://dbpedia.org/resource/United_States
"http://dbpedia.org/resource/Abbeville,_South_Carolina",http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Abbeville-Saint-Lucien,http://dbpedia.org/resource/France
http://dbpedia.org/resource/Abbiategrasso,http://dbpedia.org/resource/Italy
"http://dbpedia.org/resource/Abbotsford,_British_Columbia",http://dbpedia.org/resource/Canada
"http://dbpedia.org/resource/Abbott,_Texas",http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Abcoude,http://dbpedia.org/resource/Netherlands
"http://dbpedia.org/resource/Abda,_Hungary",http://dbpedia.org/resource/Hungary
"http://dbpedia.org/resource/Aben,_Louisiana",http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Abeokuta,http://dbpedia.org/resource/Nigeria
http://dbpedia.org/resource/Abercynon,http://dbpedia.org/resource/United_Kingdom
http://dbpedia.org/resource/Aberdare,http://dbpedia.org/resource/Wales
http://dbpedia.org/resource/Aberdare,http://dbpedia.org/resource/United_Kingdom
"http://dbpedia.org/resource/Aberdeen,_Mississippi",http://dbpedia.org/resource/United_States
"http://dbpedia.org/resource/Aberdeen,_South_Dakota",http://dbpedia.org/resource/United_States
"http://dbpedia.org/resource/Aberdeen,_Washington",http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Abergavenny,http://dbpedia.org/resource/United_Kingdom
http://dbpedia.org/resource/Abersychan,http://dbpedia.org/resource/Wales
http://dbpedia.org/resource/Abersychan,http://dbpedia.org/resource/United_Kingdom
http://dbpedia.org/resource/Aberystwyth,http://dbpedia.org/resource/Wales
http://dbpedia.org/resource/Aberystwyth,http://dbpedia.org/resource/United_Kingdom
http://dbpedia.org/resource/Abha,http://dbpedia.org/resource/Saudi_Arabia
http://dbpedia.org/resource/Abia_(state),http://dbpedia.org/resource/Nigeria
http://dbpedia.org/resource/Abidjan,http://dbpedia.org/resource/Ivory_Coast
"http://dbpedia.org/resource/Abiko,_Chiba",http://dbpedia.org/resource/Japan
"http://dbpedia.org/resource/Abilene,_Texas",http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Abingdon-on-Thames,http://dbpedia.org/resource/Oxfordshire
http://dbpedia.org/resource/Abingdon-on-Thames,http://dbpedia.org/resource/United_Kingdom
http://dbpedia.org/resource/Abinger,http://dbpedia.org/resource/England
http://dbpedia.org/resource/Abinger,http://dbpedia.org/resource/Surrey
http://dbpedia.org/resource/Abinger,http://dbpedia.org/resource/United_Kingdom
"http://dbpedia.org/resource/Abington_Township,_Montgomery_County,_Pennsylvania",http://dbpedia.org/resource/United_States
"http://dbpedia.org/resource/Abrams_(CDP),_Wisconsin",http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Abruzzo,http://dbpedia.org/resource/Italy
http://dbpedia.org/resource/Absheron_District,http://dbpedia.org/resource/Azerbaijan
http://dbpedia.org/resource/Abuja,http://dbpedia.org/resource/Nigeria
http://dbpedia.org/resource/Acapulco,http://dbpedia.org/resource/Mexico
http://dbpedia.org/resource/Acatzingo,http://dbpedia.org/resource/Mexico
http://dbpedia.org/resource/Accra,http://dbpedia.org/resource/Ghana
http://dbpedia.org/resource/Accrington,http://dbpedia.org/resource/Lancashire
http://dbpedia.org/resource/Accrington,http://dbpedia.org/resource/United_Kingdom
http://dbpedia.org/resource/Achh,http://dbpedia.org/resource/Pakistan
http://dbpedia.org/resource/Acireale,http://dbpedia.org/resource/Italy
"http://dbpedia.org/resource/Ackerman,_Mississippi",http://dbpedia.org/resource/United_States
"http://dbpedia.org/resource/Acklam,_Middlesbrough",http://dbpedia.org/resource/England
"http://dbpedia.org/resource/Acklam,_Middlesbrough",http://dbpedia.org/resource/United_Kingdom
http://dbpedia.org/resource/Aclare,http://dbpedia.org/resource/Republic_of_Ireland
http://dbpedia.org/resource/Acle,http://dbpedia.org/resource/Norfolk
http://dbpedia.org/resource/Acle,http://dbpedia.org/resource/United_Kingdom
http://dbpedia.org/resource/Acocks_Green,http://dbpedia.org/resource/England
http://dbpedia.org/resource/Acocks_Green,http://dbpedia.org/resource/United_Kingdom
http://dbpedia.org/resource/Acqui_Terme,http://dbpedia.org/resource/Italy
"http://dbpedia.org/resource/Acre,_Israel",http://dbpedia.org/resource/Israel
"http://dbpedia.org/resource/Acton,_London",http://dbpedia.org/resource/United_Kingdom
http://dbpedia.org/resource/Acy-en-Multien,http://dbpedia.org/resource/France
"http://dbpedia.org/resource/Ada,_Oklahoma",http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Adamawa_(state),http://dbpedia.org/resource/Nigeria
"http://dbpedia.org/resource/Adams,_North_Dakota",http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Adana,http://dbpedia.org/resource/Turkey
http://dbpedia.org/resource/Addis_Ababa,http://dbpedia.org/resource/Ethiopia
http://dbpedia.org/resource/Addiscombe,http://dbpedia.org/resource/United_Kingdom
