museum,place
http://dbpedia.org/resource/'Ksan,http://dbpedia.org/resource/Bulkley_River
http://dbpedia.org/resource/'Ksan,"http://dbpedia.org/resource/Hazelton,_British_Columbia"
http://dbpedia.org/resource/100th_Bomb_Group_Memorial_Museum,http://dbpedia.org/resource/Norfolk
http://dbpedia.org/resource/100th_Bomb_Group_Memorial_Museum,http://dbpedia.org/resource/Dickleburgh
http://dbpedia.org/resource/100th_Bomb_Group_Memorial_Museum,http://dbpedia.org/resource/Diss
http://dbpedia.org/resource/12_(Vancouver)_Service_Company__12_Service_Battalion_Museum__1,"http://dbpedia.org/resource/Richmond,_British_Columbia"
http://dbpedia.org/resource/12_(Vancouver)_Service_Company__12_Service_Battalion_Museum__1,http://dbpedia.org/resource/Canada
http://dbpedia.org/resource/12e_Régiment_blindé_du_Canada__Trois-Rivières_Military_Museum__1,http://dbpedia.org/resource/Trois-Rivières
http://dbpedia.org/resource/12e_Régiment_blindé_du_Canada__Trois-Rivières_Military_Museum__1,http://dbpedia.org/resource/Canada
"http://dbpedia.org/resource/15th_Field_Artillery_Regiment_(Canada)__15th_Field_Regiment,_Royal_Canadian_Artillery_Muse__1",http://dbpedia.org/resource/Bessborough_Armoury
"http://dbpedia.org/resource/15th_Field_Artillery_Regiment_(Canada)__15th_Field_Regiment,_Royal_Canadian_Artillery_Muse__1",http://dbpedia.org/resource/Vancouver
"http://dbpedia.org/resource/15th_Field_Artillery_Regiment_(Canada)__15th_Field_Regiment,_Royal_Canadian_Artillery_Muse__1",http://dbpedia.org/resource/Canada
http://dbpedia.org/resource/1812_Homestead_Farm_and_Museum,http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/1812_Homestead_Farm_and_Museum,"http://dbpedia.org/resource/Willsboro,_New_York"
http://dbpedia.org/resource/1912–1913_War_Museum,http://dbpedia.org/resource/Ioannina
http://dbpedia.org/resource/1912–1913_War_Museum,http://dbpedia.org/resource/Greece
http://dbpedia.org/resource/1941_Historical_Aircraft_Group_Museum,http://dbpedia.org/resource/New_York
http://dbpedia.org/resource/1941_Historical_Aircraft_Group_Museum,"http://dbpedia.org/resource/Geneseo,_New_York"
http://dbpedia.org/resource/21_21_Design_Sight,http://dbpedia.org/resource/Tokyo
http://dbpedia.org/resource/21_21_Design_Sight,http://dbpedia.org/resource/Japan
http://dbpedia.org/resource/21er_Haus,http://dbpedia.org/resource/Vienna
http://dbpedia.org/resource/21er_Haus,http://dbpedia.org/resource/Austria
"http://dbpedia.org/resource/21st_Century_Museum_of_Contemporary_Art,_Kanazawa",http://dbpedia.org/resource/Ishikawa_Prefecture
"http://dbpedia.org/resource/21st_Century_Museum_of_Contemporary_Art,_Kanazawa",http://dbpedia.org/resource/Kanazawa
"http://dbpedia.org/resource/21st_Century_Museum_of_Contemporary_Art,_Kanazawa",http://dbpedia.org/resource/Japan
"http://dbpedia.org/resource/26th_Field_Artillery_Regiment_(Canada)__26th_Field_Artillery_Regiment,_Royal_Canadian_Arti__1","http://dbpedia.org/resource/Brandon,_Manitoba"
"http://dbpedia.org/resource/26th_Field_Artillery_Regiment_(Canada)__26th_Field_Artillery_Regiment,_Royal_Canadian_Arti__1",http://dbpedia.org/resource/Canada
http://dbpedia.org/resource/3D_Center_of_Art_and_Photography,"http://dbpedia.org/resource/Portland,_Oregon"
http://dbpedia.org/resource/48th_Highlanders_of_Canada__Museum__1,http://dbpedia.org/resource/Toronto
http://dbpedia.org/resource/48th_Highlanders_of_Canada__Museum__1,http://dbpedia.org/resource/St._Andrew's_Church_(Toronto)
http://dbpedia.org/resource/50_Moganshan_Road,http://dbpedia.org/resource/Shanghai
http://dbpedia.org/resource/50_Moganshan_Road,http://dbpedia.org/resource/China
http://dbpedia.org/resource/6_Engineer_Squadron__6th_Field_Engineer_Squadron_Museum__1,"http://dbpedia.org/resource/Sussex,_New_Brunswick"
http://dbpedia.org/resource/82nd_Airborne_Division_War_Memorial_Museum,http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/82nd_Airborne_Division_War_Memorial_Museum,http://dbpedia.org/resource/Fort_Bragg
http://dbpedia.org/resource/8Q_SAM,http://dbpedia.org/resource/Singapore
http://dbpedia.org/resource/8th_Canadian_Hussars_(Princess_Louise's)__8th_Canadian_Hussars_Princess_Louise's_Museum__1,"http://dbpedia.org/resource/Sussex,_New_Brunswick"
http://dbpedia.org/resource/99s_Museum_of_Women_Pilots,http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/99s_Museum_of_Women_Pilots,http://dbpedia.org/resource/Oklahoma_City
http://dbpedia.org/resource/A.S._Popov_Central_Museum_of_Communications,http://dbpedia.org/resource/Russia
http://dbpedia.org/resource/A.S._Popov_Central_Museum_of_Communications,http://dbpedia.org/resource/Saint_Petersburg
http://dbpedia.org/resource/A._E._Backus_Gallery_&_Museum,http://dbpedia.org/resource/Florida
http://dbpedia.org/resource/A._E._Backus_Gallery_&_Museum,"http://dbpedia.org/resource/Fort_Pierce,_Florida"
http://dbpedia.org/resource/A._R._Bowman_Memorial_Museum,http://dbpedia.org/resource/Oregon
http://dbpedia.org/resource/A._R._Bowman_Memorial_Museum,http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/A._R._Bowman_Memorial_Museum,"http://dbpedia.org/resource/Prineville,_Oregon"
http://dbpedia.org/resource/ABA_Museum_of_Law,http://dbpedia.org/resource/Illinois
http://dbpedia.org/resource/ABA_Museum_of_Law,http://dbpedia.org/resource/Chicago
http://dbpedia.org/resource/AHHAA,http://dbpedia.org/resource/Tartu
http://dbpedia.org/resource/AP_State_Archaeology_Museum,http://dbpedia.org/resource/Telangana
